wdname,Div,WD,Reach,Subreach,SRID,WDID,Conf_ID,Name,Type,nodetypestr,Station,Parameter,Low,Avg,High,ReleaseStructure,Branch,GNIS_ID,Channel length,Alluvium length,Reach portion,LossPercent,stublength,stubloss,calcs,Transmissivity,Storage coefficient,Aquifer width,DispersionMethod,Dispersion-A,Dispersion-B,CelerityMethod,Celerity-A,Celerity-B,URFThreshold,SDnum,Closure,GainInitial,DefaultMethod,Width-A,Width-B,EvapFactor
Arkansas PR-JMR,2,17,1,1,1,1403526,,Pueblo Reservoir,0,Top,,,0,0,0,1,,00078956,,,,0.00,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,10,0,none,0.31,1.32,0.00
Arkansas PR-JMR,2,17,1,2,2,1400534,,Hamp-Bell Ditch,-1,Outflow,,,0,0,0,1,,00078956,,,,0.00,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,10,0,none,0.31,1.32,0.00
Arkansas PR-JMR,2,17,2,1,3,1409500,,Arkansas River above Pueblo,0,Gage,ARKPUECO,DISCHRG,161,471,656,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,10,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,2,4,1400738,6384,Pueblo Fish Hatchery Outflow,1,Inflow,1400738A,DISCHRG,35,27,21,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,3,5,1400618,,Comanche Power Plant Pump Station,-1,Outflow,,,15,13,14,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,4,6,1403694,,Transit Mix-West Pueblo Pit,-1,Outflow,,,0,0,0,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,5,7,1400589,,Northside Water Works,-1,Outflow,,,51,14,26,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,6,8,1400536,,Riverside Dairy Ditch,-1,Outflow,,,0,0,0,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,7,9,1409504,,Runyon Lake Outlet,1,Inflow,ARK227CO,DISCHRG,0,0,0,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,8,10,1400800,952,Fountain Creek,1,Inflow,FOUMOUCO,DISCHRG,49,133,296,,10,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,9,11,1400620,6385,Pueblo Sewage Treatment Plant Outfall,1,Inflow,,,18,18,21,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,10,12,1409508,948,Salt Creek,1,Inflow,SALTMOCO,DISCHRG,67,64,64,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,11,13,1400539,,Excelsior Ditch,-1,Outflow,,,0,14,0,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,2,12,14,1509501,945,St. Charles River,1,Inflow,STCHARCO,DISCHRG,5,27,202,,,00078956,,,,0.10,,,,10000,0.15,750,1,32,0.56,6,0.6352,0.2797,500,17,20,110,bank,0.31,1.32,1.17
Arkansas PR-JMR,2,17,3,1,15,1409503,,Arkansas River near Avondale,0,Gage,ARKAVOCO,DISCHRG,283,705,1330,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.6791,0.2284,500,17,20,203,bank,0.31,1.50,1.05
Arkansas PR-JMR,2,17,3,2,16,1420020,947,Sixmile Creek,1,Inflow,,,5,5,5,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.6791,0.2284,500,17,20,203,bank,0.31,1.50,1.05
Arkansas PR-JMR,2,17,3,3,17,1400538,,Collier Ditch,-1,Outflow,,,0,0,0,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.6791,0.2284,500,17,20,203,bank,0.31,1.50,1.05
Arkansas PR-JMR,2,17,3,4,18,1700540,,Colorado Canal,-1,Outflow,COLCANCO,DISCHRG,0,126,203,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.6791,0.2284,500,17,20,203,bank,0.31,1.50,1.05
Arkansas PR-JMR,2,17,3,5,19,1409506,937,Huerfano River,1,Inflow,HUEBOOCO,DISCHRG,1,21,231,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.6791,0.2284,500,17,20,203,bank,0.31,1.50,1.05
Arkansas PR-JMR,2,17,3,6,20,1700542,,Rocky Ford Highline,-1,Outflow,RFHCANCO,DISCHRG,129,142,348,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.6791,0.2284,500,17,20,203,bank,0.31,1.50,1.05
Arkansas PR-JMR,2,17,3,7,21,1700541,,Oxford Farmers Ditch,-1,Outflow,OXFDITCO,DISCHRG,17,35,103,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.6791,0.2284,500,17,20,203,bank,0.31,1.50,1.05
Arkansas PR-JMR,2,17,4,1,22,1409502,,Arkansas River near Nepesta,0,Gage,ARKNEPCO,DISCHRG,155,515,1115,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.5644,0.2469,500,17,20,85,bank,0.37,1.38,1.05
Arkansas PR-JMR,2,17,4,2,23,1700557,,Otero Canal,-1,Outflow,OTECAFCO,DISCHRG,0,33,21,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.5644,0.2469,500,17,20,85,bank,0.37,1.38,1.05
Arkansas PR-JMR,2,17,4,3,24,1709502,1024,Apishapa River,1,Inflow,APIFOWCO,DISCHRG,4,12,36,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.5644,0.2469,500,17,20,85,bank,0.37,1.38,1.05
Arkansas PR-JMR,2,17,4,4,25,1700552,,Catlin Canal,-1,Outflow,CATCANCO,DISCHRG2,132,151,272,,,00078956,,,,0.13,,,,10000,0.15,1500,1,32,0.56,4,0.5644,0.2469,500,17,20,85,bank,0.37,1.38,1.05
Arkansas PR-JMR,2,17,5,1,26,1709503,,Arkansas River at Catlin Dam,0,Gage,ARKCATCO,DISCHRG,101,424,943,,,00078956,,,,0.13,,,,10000,0.15,2500,1,32,0.56,4,0.7019,0.2102,500,17,20,17,bank,0.44,1.18,1.05
Arkansas PR-JMR,2,17,5,2,27,1700554,,Holbrook Canal,-1,Outflow,HOLCANCO,DISCHRG,0,145,155,,,00078956,,,,0.13,,,,10000,0.15,2500,1,32,0.56,4,0.7019,0.2102,500,17,20,17,bank,0.44,1.18,1.05
Arkansas PR-JMR,2,17,5,3,28,1700558,,Rocky Ford Ditch,-1,Outflow,RFDMANCO,DISCHRG1,83,45,103,,,00078956,,,,0.13,,,,10000,0.15,2500,1,32,0.56,4,0.7019,0.2102,500,17,20,17,bank,0.44,1.18,1.05
Arkansas PR-JMR,2,17,5,4,29,1700648,,Fort Lyon Storage Canal,-1,Outflow,FLSCANCO,DISCHRG,0,233,0,,,00078956,,,,0.13,,,,10000,0.15,2500,1,32,0.56,4,0.7019,0.2102,500,17,20,17,bank,0.44,1.18,1.05
Arkansas PR-JMR,2,17,5,5,30,1700668,6386,Rocky Ford Return,1,Inflow,RFDRETCO,DISCHRG2,24,26,31,,,00078956,,,,0.13,,,,10000,0.15,2500,1,32,0.56,4,0.7019,0.2102,500,17,20,17,bank,0.44,1.18,1.05
Arkansas PR-JMR,2,17,5,6,31,1703525,6387,Lake Meredith Outfall,1,Inflow,MEROUTCO,DISCHRG,72,36,47,1,,00078956,,,,0.13,,,,10000,0.15,2500,1,32,0.56,4,0.7019,0.2102,500,17,20,17,bank,0.44,1.18,1.05
Arkansas PR-JMR,2,17,6,1,32,1709507,,Arkansas River near Rocky Ford,0,Gage,ARKROCCO,DISCHRG,107,346,780,,,00078956,,,,0.13,,,,10000,0.15,2500,1,32,0.56,3.5,0.4964,0.2626,500,17,20,56,bank,0.49,0.96,1.04
